location_country_code,location_region,location_city,fundedorg_name,fundedorg_description,fundedorg_short_description,fundedorg_categories,fundedorg_category_groups,fundedorg_permalink,announced_on,funding_type,series,money_raised_usd,n_investors,investor_name,investor_type,investor_investor_type,investor_description,investor_short_description,uuid,Year,Month
Israel,HaMerkaz,Rehovot,Cognata,"The fast lane to Autonomous Driving.

Autonomous vehicles are about to create trillions of dollars over the next decade. While validating an autonomous vehicle to current human fatality level requires driving 8B miles.

Cognata reproduces the sensor input of a real vehicle in a reality grade city model in order to generate relevant edge case and accelerate the development and validation of an autonomous vehicle.

Cognata was founded in 2016, By Danny Atsmon, a deep learning world expert. Danny has been the founder of iOnRoad an ADAS company acquired by (NYSE:HAR now Samsung) and later served as its Director of ADAS and Senior director of Machine learning in. Headquartered in Rehovot next to the Weizmann Institute of science it employs top Israeli computer science and physics talents.",Cognata provides driving validation platform for the autonomous vehicles industry.,"'Autonomous Vehicles', 'Automotive', 'Software'","'Transportation', 'Transportation', 'Software'",cognata,2018-10-17,venture,B,18500000.0,5.0,Scale Venture Partners,Organization,venture_capital,"Scale Venture Partners invests in software companies that are transforming the future of work. Investments include: Box (BOX), Chef, Cloudhealth, DataStax, Demandbase, DocuSign (DOCU), ExactTarget (ET), HubSpot (HUBS), JFrog, Lever, and WalkMe. ScaleVP partners with entrepreneurs to support accelerated growth from the first customer to market leadership.",Scale Venture Partners is a VC firm funding the future of work,ee565296d58944eaaf23c7342100041b,2018,10
Brazil,Goias,Israelândia,VAYAVISION,0,Leading raw data fusion and perception system providing the most reliable environmental model for autonomous vehicles,"'Autonomous Vehicles', 'Search Engine', 'Automotive'","'Transportation', 'Internet Services', 'Transportation'",vayavision,2018-10-16,seed,0,8000000.0,5.0,MizMaa Ventures,Organization,venture_capital,MizMaa Ventures is a principal investment firm that specializes in investments in technology companies in Israel.,MizMaa is working with the deep technology innovators emerging from Israel’s high tech sector.,dfc25980c0c44ed09c64743548039304,2018,10
United Kingdom,Oxfordshire,Banbury,First Line,0,First Line is an internationally renowned distributor of premium quality components,"'Autonomous Vehicles', 'Automotive'","'Transportation', 'Transportation'",first-line-ltd,2018-10-09,debt_financing,0,26313538.0,1.0,Santander Corporate & Commercial,Organization,investment_bank,"Whether small family companies or global corporations, we approach every business customer as an individual relationship. We strive to understand your unique needs and to make banking straightforward, so you can focus on growth. That's why our clients get a dedicated, expert Relationship Director. We believe credit partners should meet you directly, so our decisions are as transparent as possible. We work hard to do right by you and your business now and in the long term",Whether small family companies or global corporations,bf738a7212664f738c86f5e7d60e0a8e,2018,10
Germany,Berlin,Berlin,Teraki,"Teraki's software solution works as an enabler for connected car, telematics and autonomous car applications. It is a solution which goes beyond data compression and is uniquely adapted to applications such as predictive maintenance, UBI and telematics which were not possible before.","Teraki offers AI software that enables automotive Insurance, Predictive Maintenance, Fleet Management and AD applications.","'Autonomous Vehicles', 'Automotive', 'B2B', 'Internet of Things', 'Information Technology'","'Transportation', 'Transportation', 'Internet Services', 'Information Technology'",teraki,2018-09-27,seed,0,3000000.0,2.0,0,0,0,0,0,743c348e708f499ba2fce19a4906252f,2018,9
India,Karnataka,Bangalore,Bounce (Metro Bikes),"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient. With its One Way Rental service, users can now pick up and drop the bike anywhere they need to and be done with the ride. This is predominantly aimed at providing a seamless first mile and last mile connectivity to metro users.

The startup is aimed at decongesting the roads by encouraging commuters to choose public transport by providing convenient options to rent bikes and reach their destinations from metro stations.

Founded in 2014, Bounce is based in Bangalore, India.","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.","'Last Mile Transportation', 'Autonomous Vehicles', 'Recreational Vehicles', 'Rental'","'Transportation', 'Transportation', 'Transportation', 'Commerce and Shopping'",metro-bikes,2018-09-25,debt_financing,0,3000000.0,1.0,InnoVen Capital,Organization,"corporate_venture_capital,venture_debt","InnoVen Capital is Asia's leading venture lending firm with offices in Mumbai, Singapore and Beijing. Started in India in 2008, the platform was re-branded InnoVen Capital following a buyout of the business led by Temasek Holdings and UOB Group in 2015. InnoVen Capital currently has investor commitments of US$200 million.

In India, InnoVen Capital is positioned as the first and largest venture debt provider to venture capital backed start-ups in India across stages of growth and sectors. The Company has a credit rating of ‘IND AA-’ for its term borrowing and ‘IND A1+’ for its commercial paper issuances.

InnoVen provides debt financing to high growth and innovative tech startups, and has since supported and provided over 190 loans to more than 150 start-ups across India and Southeast Asia. The platform offers multiple debt capital solutions, including venture debt, acquisition finance, growth loans, and syndication. ","InnoVen Capital, backed by Temasek and UOB Group, is Asia's leading venture lending firm with offices in Mumbai, Singapore and Beijing. ",2c27ead8f7554e7e8ceee7384fa33753,2018,9
United Kingdom,Oxfordshire,Oxford,Oxbotica Ltd,"Oxbotica is developing the next generation of autonomous vehicles - creating the software that makes them go. Using the latest in computer vision and machine learning, their systems learn from their environment and share experiences with each other, so that they're getting smarter all the time.

The system uses a complement of sensors and algorithms to identify and track pedestrians, cars and other obstacles in the environment.","Oxbotica is developing the next generation of autonomous vehicles, creating the software that makes them go.","'Autonomous Vehicles', 'Artificial Intelligence', 'Navigation', 'Robotics', 'Transportation', 'Automotive'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Navigation and Mapping', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Transportation'",oxbotica-ltd,2018-09-19,venture,0,18397885.0,0.0,0,0,0,0,0,2e34d7624f0d48a09b65246e05e4de05,2018,9
France,Midi-Pyrenees,Toulouse,EasyMile,"EasyMile is a high-tech startup specialized in providing both software powering autonomous vehicles and the last mile smart mobility solutions.

The company is headquartered in Toulouse (France) with offices in Singapore and Denver (USA). It also operates through value added resellers notably in Japan and the Middle East.

EasyMile, with its workforce of 70 passionate employees, is a privately held company that is currently growing organically at a sustained pace.",EasyMile is a high-tech startup specialized in providing both software powering autonomous vehicles and smart mobility solutions.,"'Autonomous Vehicles', 'Electric Vehicle', 'Robotics', 'Transportation', 'Automotive', 'Public Transportation', 'Image Recognition'","'Transportation', 'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Transportation', 'Transportation', 'Data and Analytics', 'Software'",easymile,2018-09-17,venture,B,7562175.0,1.0,Bpifrance,Organization,"government_office,investment_bank","Bpifrance assists companies, booting up the listing on the stock exchange, credit equity. Bpifrance includes OSEO , CDC Entreprises , FSI and FSI Regions to offer in your area of financial solutions at every stage of the life of your business.

These companies will be made ​​to Bpifrance after the General Meeting of 12 July 2013. They become the same day, first Bpifrance Finance (ex- SLA ) and secondly Bpifrance I nvestment (comprising CDC Entreprises , FSI and FSI regions ).
CDC Entreprises, FSI and FSI Regions will be in the second half, after obtaining social and regulatory approvals, merged into one management company: Bpifrance Investment.

The role of Bpifrance is to support the financing of the French economy.",Bpifrance provides financial solutions for companies that are booting up the listing on the stock exchange and credit equity.,667fa5da29ec44ebad17428237697964,2018,9
China,Shanghai,Shanghai,Banma Network Technologies,"Banma Network Technologies is an Internet car startup. Banma Network Technologies intends to open up its AliOS in-car operating system to developers and carmakers in 2019.

The company is realizing the promise of connected cars to enable the entire car and travel industry.",Banma Network Technologies is an Internet car startup that intends to open up its AliOS in-car operating system to developers and carmakers.,"'Autonomous Vehicles', 'Automotive', 'Internet'","'Transportation', 'Transportation', 'Internet Services'",banma-network-technologies,2018-09-13,venture,A,233000000.0,3.0,SDIC Fund Management,Organization,0,0,SDIC Fund Management,ff0589fd65614870a7b5b4c5cb0d2831,2018,9
Germany,Bayern,München,Blickfeld,Blickfeld develop and sell LiDAR sensors and provide the software to interpret complex 3d point clouds. Our unique technology employs an astonishingly simple and highly integrated MEMS design achieving figures of merit only known from costly R&D equipment.,Blickfeld develop and sell LiDAR sensors and provide the software to interpret complex 3d point clouds.,"'Autonomous Vehicles', 'Sensor', 'Software'","'Transportation', 'Hardware', 'Software'",blickfeld,2018-09-13,seed,0,5700000.0,4.0,0,0,0,0,0,a9ec58ffb28e40769163595cc14efd4c,2018,9
France,Ile-de-France,Paris,NAVYA,"NAVYA is a French company specialized in the conception of electric, autonomous systems. For the past 10 years, NAVYA has been developing complex technological solutions towards sustainable mobility. NAVYA is mobilizing its expertise in intelligent transportation to answer the societal, economic, and sustainable challenges of the 21st century.",NAVYA is a Lyon and Paris-based company that develops driverless vehicles for the specific site transportation of goods and people.,"'Autonomous Vehicles', 'Electric Vehicle', 'Robotics', 'Transportation', 'Image Recognition', 'Information Technology'","'Transportation', 'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Data and Analytics', 'Software', 'Information Technology'",navya-technology,2018-08-09,private_equity,0,34572806.0,1.0,European Investment Bank (EIB),Organization,"government_office,investment_bank","European Investment Bank (EIB) provides lending, borrowing, and treasury services primarily in the European Union.

The company offers project loans for the public and private sectors; loans to banks and other intermediaries; structured finance products; guarantees and securitization instruments for senior and subordinated debts; project bonds; equity and fund investment products such as infrastructure equity and debt funds, and environmental funds; and venture capital funds and security packages for funds.

The company also offers microfinance; risk sharing finance for research, development, and innovation projects; finance and technical expertise for sustainable energy projects; infrastructure project advisory services; support for urban development projects; guarantees for transport infrastructure; and funding for public-private partnerships and small- and medium-sized enterprises.

EIB serves the transportation, global loans, energy, industry, health, education, water, sewerage, infrastructure, services, telecommunications, agriculture, and fisheries sectors.

European Investment Bank was founded in 1958 and is based in Luxembourg.","European Investment Bank (EIB) provides lending, borrowing, and treasury services primarily in the European Union.",16f79788311f4851b2cc00c4394eacfa,2018,8
