location_country_code,location_region,location_city,fundedorg_name,fundedorg_description,fundedorg_short_description,fundedorg_categories,fundedorg_category_groups,fundedorg_permalink,announced_on,funding_type,series,money_raised_usd,n_investors,investor_name,investor_type,investor_investor_type,investor_description,investor_short_description,uuid,Year,Month
United States,Massachusetts,Somerville,Perceptive Automata,"Perceptive Automata is solving what is often described as the hardest of the hard problems for automated driving: human behavior prediction technology for the safe large-scale rollout of highly automated (L2/3) and autonomous (L4/5) vehicles, especially in urban areas.

We enable those vehicles to understand what people might do next so they can navigate safely and smoothly around humans, including pedestrians, cyclists, and other drivers. The level of understanding of our human-like AI goes well beyond what standard physics-based approaches can deliver, including information that can’t be gained any other way.

Importantly, in addition to increased safety, we enable a much more natural and smooth human-like driving of L4/5 autonomous vehicles. This is essential for autonomous vehicles to be accepted into a human-dominated road environment and also by passengers of robotaxi services. Without this capability autonomous vehicles simply will not function well enough.

Perceptive Automata is working with OEMs, suppliers, and tech companies that are building or integrating ADAS and autonomous driving systems.

The team is comprised of Harvard, MIT, and Stanford neuroscientists and AI experts working out of offices in Boston and Silicon Valley.",Human Intuition for Machines,"'Autonomous Vehicles', 'Artificial Intelligence', 'Robotics', 'Machine Learning', 'Transportation', 'Automotive'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Science and Engineering', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Transportation', 'Transportation'",perceptive-automata,2018-10-09,venture,A,16000000.0,5.0,Jazz Venture Partners,Organization,venture_capital,"JAZZ Venture Partners is the leading venture capital firm focused on technologies that extend the boundaries of human performance. They invest in companies at the intersection of digital technology and neuroscience. They are interested in companies that leverage cutting-edge brain science to inform powerful technology platforms that are impacting the human experience, such as virtual and augmented reality, immersive video gaming, artificial intelligence, and closed-loop human-computer systems. Their portfolio companies are unlocking human potential in important markets: health, mind-body wellness, peak mental and physical performance, accelerated learning and training, sports, and entertainment.

The partners are proven investors, entrepreneurs, neuroscientists, and technologists. They have deep domain experience and unparalleled access to innovative companies, talent, and strategic resources. Their multidisciplinary backgrounds allow us to meaningfully support exceptional entrepreneurs and executives in building category-defining companies.",JAZZ Venture Partners is the leading venture capital firm focused on technologies that extend the boundaries of human performance.,d032a2666c06430ea72a1a194291338f,2018,10
United States,California,Palo Alto,Aeva,"Aeva develops a new sensing & perception paradigm for autonomous machines. Its technology brings together the best of vision, depth, and motion sensors into a single product with superior performance. Compared to today's best in class, it provides greater range and resolution across weather conditions and a new dimension to precisely measure velocity of every pixel in the scene.

Founded in 2016, Aeva is based in Mountain View, California.",Aeva develops a new sensing & perception paradigm for autonomous machines.,"'Autonomous Vehicles', 'Navigation', 'Automotive'","'Transportation', 'Navigation and Mapping', 'Transportation'",aeva,2018-10-01,venture,A,45000000.0,2.0,Lux Capital,Organization,venture_capital,"Lux Capital Management is a research-driven investment firm focused on founding, seed and early stage investments in the physical and life sciences. Lux takes an active role in helping entrepreneurs build successful businesses in high growth sectors. Our investment team has built over 20 companies from scratch. Lux's investment strategy ensures our portfolio companies are better connected, have deeper insight, and command industry leadership faster than their competitors.","VC based in NYC and Menlo Park investing in counter-conventional, early-stage science and tech ventures, with $1.4B AUM across 5 funds.",96680e1a83c94a2e8e61df349d8b931e,2018,10
United States,California,Palo Alto,Cabture,"
Across the globe, transportation companies suffer from price wars. despite the 1.1 trillion dollar  (and growing) passenger transportation market, these companies are barely profitable. Taxicabs are affected the most. We are Cabture, and we rescue taxicab companies by bringing them tons of clients. We place interactive screens in the back of cabs, and we generate business from restaurants, hotels, and business centers. We give our venues free marketing, and we create unique experiences for their visitors, if their order a cab for them. It goes viral, and we are very successful in Europe. Only in Amsterdam, we have over 1000 restaurants, the largest hotels, business, and conference centers ordering exclusively with us. I have been in the USA for two months only, and about 90% of North California's taxicabs are about to sign as our clients. After taking over the entire American, European, and Middle Eastern taxi markets, we are going to move towards other means of transportation: airlines, autonomous vehicles, hyperloops. We charge taxicabs monthly subscriptions and commissions on new business, and we sell media content.",Cabture dramatically improves profitability of companies in the transportation sector.,"'Smart Cities', 'Autonomous Vehicles', 'Media and Entertainment', 'Travel', 'Transportation', 'Digital Media'","'Real Estate', 'Transportation', 'Media and Entertainment', 'Travel and Tourism', 'Transportation', 'Media and Entertainment'",cabture,2018-09-19,seed,0,90000.0,0.0,0,0,0,0,0,ababcd91ad944d1b97af33e15ac252ca,2018,9
United States,California,San Jose,AutoX,"AutoX is defining the future of Location Based Services with our industry- leading camera-first autonomous driving technology. We are making self-driving vehicles that are reliable, affordable, and above all, accessible to as many people as possible.
Our world-class experts in perception, planning, and controls have already completed our first level 4 autonomous deliveries. We will continue to lead this driverless revolution with the same passion and dedication that brought us so quickly to where we are today.",AutoX is bring Location Based Services with camera-first autonomous driving technology.,"'Autonomous Vehicles', 'Artificial Intelligence', 'Computer Vision'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Software'",autox-ac12,2018-08-27,venture,A,43000000.0,0.0,0,0,0,0,0,3438ec7e2a964ff7984151d1cb376bbf,2018,8
United States,New York,Brooklyn,CARMERA,"CARMERA provides real-time 3D maps and navigation-critical data for autonomous vehicles, as well as 3D scene reconstruction and site analytics data for professionals in architecture, construction, real estate and other built environment segments.

CARMERA operates an owned and professionally crowdsourced vehicular sensor network built from the ground up, that gathers continually updated 3D scene, change detection and analytics data. Our machine vision and geospatial data pipelines extract rich texture and insight for autonomous vehicles and built environment data customers, while helping make vehicles on city streets safer and adhering to privacy best practices.

CARMERA’s mission is to automate cities by maintaining the world’s most robust real-time, street-level intelligence platform and to make it accessible to anyone.",CARMERA provides real-time HD maps and navigation-critical data to autonomous vehicles.,"'Autonomous Vehicles', 'Mapping Services', 'Big Data', 'Transportation', 'Geospatial'","'Transportation', 'Navigation and Mapping', 'Data and Analytics', 'Transportation', 'Data and Analytics', 'Navigation and Mapping'",carmera,2018-08-23,venture,B,20000000.0,1.0,GV,Organization,"corporate_venture_capital,venture_capital","Launched as Google Ventures in 2009, GV is the venture capital arm of Alphabet, Inc. They’ve invested in more than 300 companies that push the edge of what’s possible. In the fields of life science, healthcare, artificial intelligence, robotics, transportation, cyber security, and agriculture, their companies aim to improve lives and change industries.

They’ve built a team of world-class engineers, designers, physicians, scientists, marketers, and investors who work together to provide these startups exceptional support on the road to success. They help their companies interface with Google, providing unique access to the world’s best technology and talent.","GV provides seed, venture, and growth stage funding to technology companies.",ad8786ac550e43cc83a9bd9a5a8ba984,2018,8
United States,California,Palo Alto,Cabture,"
Across the globe, transportation companies suffer from price wars. despite the 1.1 trillion dollar  (and growing) passenger transportation market, these companies are barely profitable. Taxicabs are affected the most. We are Cabture, and we rescue taxicab companies by bringing them tons of clients. We place interactive screens in the back of cabs, and we generate business from restaurants, hotels, and business centers. We give our venues free marketing, and we create unique experiences for their visitors, if their order a cab for them. It goes viral, and we are very successful in Europe. Only in Amsterdam, we have over 1000 restaurants, the largest hotels, business, and conference centers ordering exclusively with us. I have been in the USA for two months only, and about 90% of North California's taxicabs are about to sign as our clients. After taking over the entire American, European, and Middle Eastern taxi markets, we are going to move towards other means of transportation: airlines, autonomous vehicles, hyperloops. We charge taxicabs monthly subscriptions and commissions on new business, and we sell media content.",Cabture dramatically improves profitability of companies in the transportation sector.,"'Smart Cities', 'Autonomous Vehicles', 'Media and Entertainment', 'Travel', 'Transportation', 'Digital Media', 'Mobile'","'Real Estate', 'Transportation', 'Media and Entertainment', 'Travel and Tourism', 'Transportation', 'Media and Entertainment', 'Mobile'",cabture,2018-08-15,seed,0,154000.0,0.0,0,0,0,0,0,b8277dc0c3114e60afe5841d729b0373,2018,8
United States,California,Mountain View,Ghost Locomotion,"Ghost Locomotion is an automotive company that offers driving services wherever its clients go.

The company is bringing the dream of self-driving to its clients and their car. With people drive more than one billion cars around the world each day, the company aims to make driving safer and more enjoyable, starting by relieving its clients of the unpleasant and dangerous parts of commute.
",Ghost Locomotion is an automotive company that offers driving services wherever its clients go.,"'Autonomous Vehicles', 'Automotive'","'Transportation', 'Transportation'",ghost-locomotion,2018-08-15,venture,0,14999998.0,3.0,0,0,0,0,0,76feaab013a84ea9b7935eba54be15f0,2018,8
United States,California,Palo Alto,DeepMap,"DeepMap is solving the HD mapping & localization and big data management challenge for L4/5 autonomous vehicles.

We are based in Palo Alto, CA, and have blue-chip investors supporting a world-class team from Google Earth, Google Maps, Apple Maps, and Baidu Maps. We are growing our team aggressively yet selectively.

Autonomous mobility will have a huge impact on society and we are excited to be able to help make it a safe reality in partnership with automotive industry companies.",Our unique service turns your self-driving fleet data into high performance maps,"'Autonomous Vehicles', 'Computer', 'Software'","'Transportation', 'Consumer Electronics', 'Hardware', 'Software'",deepmap,2018-08-14,venture,0,0.0,1.0,Robert Bosch Venture Capital,Organization,corporate_venture_capital,"RBVC invests in seed, early-, and late-stage Venture Capital rounds and participates in the follow-on investments in privately held companies. Depending on the stage of the company the initial amount of investment ranges from below EUR 500k for a seed funding to more than EUR 5m in an early- to late-stage funding round. Our typical aggregate investment allocation per portfolio company ranges, including follow-on investments, typically between EUR 6 and 15 million for usually a 10 to 25% equity position in each company. We prefer to syndicate our investments with existing or new investors in the company and can take the lead as necessary. In addition, RBVC invests in select regional or industry-specific independent VC funds.",RBVC invests in start-up companies either directly or via venture capital funds on a worldwide basis.,11665e4e16b84afd8df7cc8467934378,2018,8
United States,California,San Francisco,Scale API,"Scale accelerates the development of AI applications by helping computer vision teams generate high-quality ground truth data. Our advanced LiDAR, video, and image annotation APIs allow self-driving, drone, and robotics teams at companies like nuTonomy, Nuro, Voyage, Embark, Lyft, Pinterest, and Airbnb focus on building differentiated models vs. labeling data.

Our APIs include: Sensor Fusion, Semantic Segmentation, 2D Boxes/Polygons, Video, 3D Cuboids, Lines & Splines",Scale is an API for training data that provides access to human-powered data for hundreds of use cases.,"'Autonomous Vehicles', 'Task Management', 'Developer APIs', 'Machine Learning', 'Image Recognition'","'Transportation', 'Software', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Data and Analytics', 'Software'",scale-2,2018-08-07,venture,B,18000000.0,5.0,Index Ventures,Organization,venture_capital,"Index Ventures is a multi-stage international venture capital firm that backs the best and most ambitious entrepreneurs. These leaders are building truly transformative companies that are reshaping the world around them, including:  Dropbox, Etsy, Sonos, SoundCloud, Flipboard, King, BlaBlaCar, Squarespace, Just Eat, Lookout, Hortonworks, Nasty Gal, Pure Storage, Supercell, Criteo, Funding Circle and many others. 

Index is built on the sturdy foundation of a tight-knit collaborative partnership that retains a shared mission of putting entrepreneurs first.  To them, full-service means the full attention of their partnership. They structurally de-emphasize individual partner achievements and provide the full partnerships’ collective experience and expertise to their portfolio entrepreneurs. 

They’ve teamed up with exceptional entrepreneurs in 38 countries around the world and have helped them grow into new regions. Their physical presence in San Francisco and London and serve as places where their entrepreneurs can come together and jumping-off points to discover what’s next.",Index Ventures is a multi-stage international venture capital firm that backs the best and most ambitious entrepreneurs.,acc79e2ac2ea47fd90143b5b2c061c4e,2018,8
United States,California,Mountain View,Kodiak Robotics,"Kodiak Robotics develops autonomous technology for long-haul trucking.

",Kodiak Robotics develops autonomous technology for long-haul trucking.,"'Autonomous Vehicles', 'Logistics'","'Transportation', 'Transportation'",kodiak-robotics-inc,2018-08-07,venture,A,40000000.0,4.0,Battery Ventures,Organization,venture_capital,"Battery Ventures is a venture capital firm with offices in Boston, Silicon Valley, and Israel. Battery invests in potentially cutting-edge, category-defining businesses in markets including application software, IT infrastructure technologies, consumer-internet and mobile services, and industrial technologies.

 Founded in 1983, the firm backs companies at stages ranging from seed to growth and private equity.","Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",457c7e1772af4dc08ae379c82a2aea59,2018,8
