location_country_code,location_region,location_city,fundedorg_name,fundedorg_description,fundedorg_short_description,fundedorg_categories,fundedorg_category_groups,fundedorg_permalink,announced_on,funding_type,series,money_raised_usd,n_investors,investor_name,investor_type,investor_investor_type,investor_description,investor_short_description,uuid,Year,Month
Israel,HaMerkaz,Rehovot,Cognata,"The fast lane to Autonomous Driving.

Autonomous vehicles are about to create trillions of dollars over the next decade. While validating an autonomous vehicle to current human fatality level requires driving 8B miles.

Cognata reproduces the sensor input of a real vehicle in a reality grade city model in order to generate relevant edge case and accelerate the development and validation of an autonomous vehicle.

Cognata was founded in 2016, By Danny Atsmon, a deep learning world expert. Danny has been the founder of iOnRoad an ADAS company acquired by (NYSE:HAR now Samsung) and later served as its Director of ADAS and Senior director of Machine learning in. Headquartered in Rehovot next to the Weizmann Institute of science it employs top Israeli computer science and physics talents.",Cognata provides driving validation platform for the autonomous vehicles industry.,"'Autonomous Vehicles', 'Automotive', 'Software'","'Transportation', 'Transportation', 'Software'",cognata,2018-10-17,venture,B,18500000.0,5.0,Scale Venture Partners,Organization,venture_capital,"Scale Venture Partners invests in software companies that are transforming the future of work. Investments include: Box (BOX), Chef, Cloudhealth, DataStax, Demandbase, DocuSign (DOCU), ExactTarget (ET), HubSpot (HUBS), JFrog, Lever, and WalkMe. ScaleVP partners with entrepreneurs to support accelerated growth from the first customer to market leadership.",Scale Venture Partners is a VC firm funding the future of work,ee565296d58944eaaf23c7342100041b,2018,10
Brazil,Goias,Israelândia,VAYAVISION,0,Leading raw data fusion and perception system providing the most reliable environmental model for autonomous vehicles,"'Autonomous Vehicles', 'Search Engine', 'Automotive'","'Transportation', 'Internet Services', 'Transportation'",vayavision,2018-10-16,seed,0,8000000.0,5.0,MizMaa Ventures,Organization,venture_capital,MizMaa Ventures is a principal investment firm that specializes in investments in technology companies in Israel.,MizMaa is working with the deep technology innovators emerging from Israel’s high tech sector.,dfc25980c0c44ed09c64743548039304,2018,10
United States,Massachusetts,Somerville,Perceptive Automata,"Perceptive Automata is solving what is often described as the hardest of the hard problems for automated driving: human behavior prediction technology for the safe large-scale rollout of highly automated (L2/3) and autonomous (L4/5) vehicles, especially in urban areas.

We enable those vehicles to understand what people might do next so they can navigate safely and smoothly around humans, including pedestrians, cyclists, and other drivers. The level of understanding of our human-like AI goes well beyond what standard physics-based approaches can deliver, including information that can’t be gained any other way.

Importantly, in addition to increased safety, we enable a much more natural and smooth human-like driving of L4/5 autonomous vehicles. This is essential for autonomous vehicles to be accepted into a human-dominated road environment and also by passengers of robotaxi services. Without this capability autonomous vehicles simply will not function well enough.

Perceptive Automata is working with OEMs, suppliers, and tech companies that are building or integrating ADAS and autonomous driving systems.

The team is comprised of Harvard, MIT, and Stanford neuroscientists and AI experts working out of offices in Boston and Silicon Valley.",Human Intuition for Machines,"'Autonomous Vehicles', 'Artificial Intelligence', 'Robotics', 'Machine Learning', 'Transportation', 'Automotive'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Science and Engineering', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Transportation', 'Transportation'",perceptive-automata,2018-10-09,venture,A,16000000.0,5.0,Jazz Venture Partners,Organization,venture_capital,"JAZZ Venture Partners is the leading venture capital firm focused on technologies that extend the boundaries of human performance. They invest in companies at the intersection of digital technology and neuroscience. They are interested in companies that leverage cutting-edge brain science to inform powerful technology platforms that are impacting the human experience, such as virtual and augmented reality, immersive video gaming, artificial intelligence, and closed-loop human-computer systems. Their portfolio companies are unlocking human potential in important markets: health, mind-body wellness, peak mental and physical performance, accelerated learning and training, sports, and entertainment.

The partners are proven investors, entrepreneurs, neuroscientists, and technologists. They have deep domain experience and unparalleled access to innovative companies, talent, and strategic resources. Their multidisciplinary backgrounds allow us to meaningfully support exceptional entrepreneurs and executives in building category-defining companies.",JAZZ Venture Partners is the leading venture capital firm focused on technologies that extend the boundaries of human performance.,d032a2666c06430ea72a1a194291338f,2018,10
United Kingdom,Oxfordshire,Banbury,First Line,0,First Line is an internationally renowned distributor of premium quality components,"'Autonomous Vehicles', 'Automotive'","'Transportation', 'Transportation'",first-line-ltd,2018-10-09,debt_financing,0,26313538.0,1.0,Santander Corporate & Commercial,Organization,investment_bank,"Whether small family companies or global corporations, we approach every business customer as an individual relationship. We strive to understand your unique needs and to make banking straightforward, so you can focus on growth. That's why our clients get a dedicated, expert Relationship Director. We believe credit partners should meet you directly, so our decisions are as transparent as possible. We work hard to do right by you and your business now and in the long term",Whether small family companies or global corporations,bf738a7212664f738c86f5e7d60e0a8e,2018,10
United States,California,Palo Alto,Aeva,"Aeva develops a new sensing & perception paradigm for autonomous machines. Its technology brings together the best of vision, depth, and motion sensors into a single product with superior performance. Compared to today's best in class, it provides greater range and resolution across weather conditions and a new dimension to precisely measure velocity of every pixel in the scene.

Founded in 2016, Aeva is based in Mountain View, California.",Aeva develops a new sensing & perception paradigm for autonomous machines.,"'Autonomous Vehicles', 'Navigation', 'Automotive'","'Transportation', 'Navigation and Mapping', 'Transportation'",aeva,2018-10-01,venture,A,45000000.0,2.0,Lux Capital,Organization,venture_capital,"Lux Capital Management is a research-driven investment firm focused on founding, seed and early stage investments in the physical and life sciences. Lux takes an active role in helping entrepreneurs build successful businesses in high growth sectors. Our investment team has built over 20 companies from scratch. Lux's investment strategy ensures our portfolio companies are better connected, have deeper insight, and command industry leadership faster than their competitors.","VC based in NYC and Menlo Park investing in counter-conventional, early-stage science and tech ventures, with $1.4B AUM across 5 funds.",96680e1a83c94a2e8e61df349d8b931e,2018,10
Germany,Berlin,Berlin,Teraki,"Teraki's software solution works as an enabler for connected car, telematics and autonomous car applications. It is a solution which goes beyond data compression and is uniquely adapted to applications such as predictive maintenance, UBI and telematics which were not possible before.","Teraki offers AI software that enables automotive Insurance, Predictive Maintenance, Fleet Management and AD applications.","'Autonomous Vehicles', 'Automotive', 'B2B', 'Internet of Things', 'Information Technology'","'Transportation', 'Transportation', 'Internet Services', 'Information Technology'",teraki,2018-09-27,seed,0,3000000.0,2.0,0,0,0,0,0,743c348e708f499ba2fce19a4906252f,2018,9
India,Karnataka,Bangalore,Bounce (Metro Bikes),"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient. With its One Way Rental service, users can now pick up and drop the bike anywhere they need to and be done with the ride. This is predominantly aimed at providing a seamless first mile and last mile connectivity to metro users.

The startup is aimed at decongesting the roads by encouraging commuters to choose public transport by providing convenient options to rent bikes and reach their destinations from metro stations.

Founded in 2014, Bounce is based in Bangalore, India.","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.","'Last Mile Transportation', 'Autonomous Vehicles', 'Recreational Vehicles', 'Rental'","'Transportation', 'Transportation', 'Transportation', 'Commerce and Shopping'",metro-bikes,2018-09-25,debt_financing,0,3000000.0,1.0,InnoVen Capital,Organization,"corporate_venture_capital,venture_debt","InnoVen Capital is Asia's leading venture lending firm with offices in Mumbai, Singapore and Beijing. Started in India in 2008, the platform was re-branded InnoVen Capital following a buyout of the business led by Temasek Holdings and UOB Group in 2015. InnoVen Capital currently has investor commitments of US$200 million.

In India, InnoVen Capital is positioned as the first and largest venture debt provider to venture capital backed start-ups in India across stages of growth and sectors. The Company has a credit rating of ‘IND AA-’ for its term borrowing and ‘IND A1+’ for its commercial paper issuances.

InnoVen provides debt financing to high growth and innovative tech startups, and has since supported and provided over 190 loans to more than 150 start-ups across India and Southeast Asia. The platform offers multiple debt capital solutions, including venture debt, acquisition finance, growth loans, and syndication. ","InnoVen Capital, backed by Temasek and UOB Group, is Asia's leading venture lending firm with offices in Mumbai, Singapore and Beijing. ",2c27ead8f7554e7e8ceee7384fa33753,2018,9
United States,California,Palo Alto,Cabture,"
Across the globe, transportation companies suffer from price wars. despite the 1.1 trillion dollar  (and growing) passenger transportation market, these companies are barely profitable. Taxicabs are affected the most. We are Cabture, and we rescue taxicab companies by bringing them tons of clients. We place interactive screens in the back of cabs, and we generate business from restaurants, hotels, and business centers. We give our venues free marketing, and we create unique experiences for their visitors, if their order a cab for them. It goes viral, and we are very successful in Europe. Only in Amsterdam, we have over 1000 restaurants, the largest hotels, business, and conference centers ordering exclusively with us. I have been in the USA for two months only, and about 90% of North California's taxicabs are about to sign as our clients. After taking over the entire American, European, and Middle Eastern taxi markets, we are going to move towards other means of transportation: airlines, autonomous vehicles, hyperloops. We charge taxicabs monthly subscriptions and commissions on new business, and we sell media content.",Cabture dramatically improves profitability of companies in the transportation sector.,"'Smart Cities', 'Autonomous Vehicles', 'Media and Entertainment', 'Travel', 'Transportation', 'Digital Media'","'Real Estate', 'Transportation', 'Media and Entertainment', 'Travel and Tourism', 'Transportation', 'Media and Entertainment'",cabture,2018-09-19,seed,0,90000.0,0.0,0,0,0,0,0,ababcd91ad944d1b97af33e15ac252ca,2018,9
United Kingdom,Oxfordshire,Oxford,Oxbotica Ltd,"Oxbotica is developing the next generation of autonomous vehicles - creating the software that makes them go. Using the latest in computer vision and machine learning, their systems learn from their environment and share experiences with each other, so that they're getting smarter all the time.

The system uses a complement of sensors and algorithms to identify and track pedestrians, cars and other obstacles in the environment.","Oxbotica is developing the next generation of autonomous vehicles, creating the software that makes them go.","'Autonomous Vehicles', 'Artificial Intelligence', 'Navigation', 'Robotics', 'Transportation', 'Automotive'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Navigation and Mapping', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Transportation'",oxbotica-ltd,2018-09-19,venture,0,18397885.0,0.0,0,0,0,0,0,2e34d7624f0d48a09b65246e05e4de05,2018,9
France,Midi-Pyrenees,Toulouse,EasyMile,"EasyMile is a high-tech startup specialized in providing both software powering autonomous vehicles and the last mile smart mobility solutions.

The company is headquartered in Toulouse (France) with offices in Singapore and Denver (USA). It also operates through value added resellers notably in Japan and the Middle East.

EasyMile, with its workforce of 70 passionate employees, is a privately held company that is currently growing organically at a sustained pace.",EasyMile is a high-tech startup specialized in providing both software powering autonomous vehicles and smart mobility solutions.,"'Autonomous Vehicles', 'Electric Vehicle', 'Robotics', 'Transportation', 'Automotive', 'Public Transportation', 'Image Recognition'","'Transportation', 'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Transportation', 'Transportation', 'Data and Analytics', 'Software'",easymile,2018-09-17,venture,B,7562175.0,1.0,Bpifrance,Organization,"government_office,investment_bank","Bpifrance assists companies, booting up the listing on the stock exchange, credit equity. Bpifrance includes OSEO , CDC Entreprises , FSI and FSI Regions to offer in your area of financial solutions at every stage of the life of your business.

These companies will be made ​​to Bpifrance after the General Meeting of 12 July 2013. They become the same day, first Bpifrance Finance (ex- SLA ) and secondly Bpifrance I nvestment (comprising CDC Entreprises , FSI and FSI regions ).
CDC Entreprises, FSI and FSI Regions will be in the second half, after obtaining social and regulatory approvals, merged into one management company: Bpifrance Investment.

The role of Bpifrance is to support the financing of the French economy.",Bpifrance provides financial solutions for companies that are booting up the listing on the stock exchange and credit equity.,667fa5da29ec44ebad17428237697964,2018,9
